"","Order","Date","Transect","UniqueID","tag..","Sun.Shade","Excluded.QC","Excluded.Branch.Length","Diam.Length","Branch..","Branch.Diameter","Y1.Y2","Y2","Y3","Y","YM","M1","M2","M","M3","M.O","O1","O2","O","Notes","R.dates","L.sum","Y.sum","M.sum","O.sum","Y.prop","M.prop","O.prop","QC.check"
"258",258,"12.05.2012",NA,"TR500_","TR500_","shade",NA,NA,"Sub 1 (16.0 -16.4 mm @ 1m branch)","TR500_1205_Sh1",NA,0,0,0,0,0,43,17,0,0,0,0,0,0,NA,2012-12-05,60,0,60,0,0,1,0,1
"259",259,"12.05.2012",NA,"TR500_","TR500_","shade",NA,NA,"Sub 2 (12.7-13.3 mm @ 1m branch)","TR500_1205_Sh1",NA,0,0,0,0,0,12,17,0,0,0,0,0,0,NA,2012-12-05,29,0,29,0,0,1,0,1
"262",262,"12.05.2012",NA,"TR500_","TR500_","shade",NA,NA,"Sub 1 (10.9-11.2 mm @ 1m branch)","TR500_1206_SH2",NA,0,0,0,0,0,21,3,0,0,0,0,0,1,NA,2012-12-05,25,0,24,1,0,0.96,0.04,1
"263",263,"12.05.2012",NA,"TR500_","TR500_","shade",NA,NA,"Sub 2 (9.8-11.3 mm @ 1m branch)","TR500_1206_SH2",NA,0,0,0,0,0,22,10,0,0,0,0,0,1,NA,2012-12-05,33,0,32,1,0,0.96969696969697,0.0303030303030303,1
"264",264,"12.05.2012",NA,"TR500_","TR500_","shade",NA,NA,"Sub 3 (13.2-13.4 mm @ 1 m branch)","TR500_1206_SH2",NA,0,0,0,0,0,27,19,0,0,0,0,0,0,NA,2012-12-05,46,0,46,0,0,1,0,1
"265",265,"12.05.2012",NA,"TR500_","TR500_","shade",NA,NA,"Sub 4 (11-11.9 mm @ 1m branch)","TR500_1206_SH2",NA,0,0,0,0,0,19,9,0,0,0,0,0,2,NA,2012-12-05,30,0,28,2,0,0.933333333333333,0.0666666666666667,1
"269",269,"12.05.2012",NA,"TR504_","TR504_","shade",NA,NA,"Sub 1 (8.8-9.2 mm @ 1m branch)","TR504_1205_SH1",NA,0,0,0,0,0,0,0,428,0,0,0,0,34,NA,2012-12-05,462,0,428,34,0,0.926406926406926,0.0735930735930736,1
"270",270,"12.05.2012",NA,"TR504_","TR504_","shade",NA,NA,"Sub2 (1m Branch)5.2-5.5 mm @ 1m branch","TR504_1205_SH1",NA,0,0,0,0,0,0,0,110,0,0,0,0,13,NA,2012-12-05,123,0,110,13,0,0.894308943089431,0.105691056910569,1
"271",271,"12.05.2012",NA,"TR504_","TR504_","shade",NA,NA,"Other A1 (5.3-5.7mm @ 0.8 m)","TR504_1205_SH1",NA,0,0,0,0,0,0,0,164.5,0,0,0,0,73,NA,2012-12-05,237.5,0,164.5,73,0,0.692631578947368,0.307368421052632,1
"273",273,"12.05.2012",NA,"TR504_","TR504_","shade",NA,NA,"Sub 1 (7.5-7.6 mm@ 1m branch)","TR504_1204_Sh2",NA,0,0,0,0,0,0,0,379,0,0,0,0,12,NA,2012-12-05,391,0,379,12,0,0.969309462915601,0.030690537084399,1
"274",274,"12.05.2012",NA,"TR504_","TR504_","shade",NA,NA,"Sub 2 (6.2-6.8 mm @ 0.95 m )","TR504_1204_Sh2",NA,0,0,0,0,0,0,0,211,0,0,0,0,24,NA,2012-12-05,235,0,211,24,0,0.897872340425532,0.102127659574468,1
"275",275,"12.05.2012",NA,"TR504_","TR504_","shade",NA,NA,"Sub 3 (6.6-7.2 mm @ 0.9 m)","TR504_1204_Sh2",NA,0,0,0,0,0,0,0,290,0,0,0,0,0,NA,2012-12-05,290,0,290,0,0,1,0,1
"279",279,"12.05.2012",NA,"TR504_","TR504_","sun",NA,NA,"Sub 1 (10.3-10.3 mm @ 1m branch)","TR504_Sun1_1205",NA,0,0,0,0,0,0,0,588,0,0,0,0,10,NA,2012-12-05,598,0,588,10,0,0.983277591973244,0.0167224080267559,1
"280",280,"12.05.2012",NA,"TR504_","TR504_","sun",NA,NA,"Sub 2 (10.5-10.8 mm @ 1m branch)","TR504_Sun1_1205",NA,0,0,0,0,0,0,0,700,0,0,0,0,5,NA,2012-12-05,705,0,700,5,0,0.99290780141844,0.00709219858156028,1
"281",281,"12.05.2012",NA,"TR504_","TR504_","sun",NA,NA,"Sub 3 (17.5-17.6 mm @ 1m branch)","TR504_Sun1_1205",NA,0,0,0,0,0,0,0,254,0,0,0,0,0,NA,2012-12-05,254,0,254,0,0,1,0,1
"285",285,"12.05.2012",NA,"TR504_","TR504_","sun",NA,NA,"Sub 1 (11.1-11.6 mm @ 1m branch)","TR504_1204_SU2",NA,0,0,0,0,0,0,0,684,0,0,0,0,0,NA,2012-12-05,684,0,684,0,0,1,0,1
"286",286,"12.05.2012",NA,"TR504_","TR504_","sun",NA,NA,"Sub 2 (11-11.7 mm @ 1m branch)","TR504_1204_SU2",NA,0,0,0,0,0,0,0,822,0,0,0,0,0,NA,2012-12-05,822,0,822,0,0,1,0,1
"289",289,"12.06.2012",NA,"TR14_","TR14_","sun",NA,NA,"Sub 1 (22.8-22.9 mm @ 1m  branch)","TR14_1206_SU1",NA,0,0,0,0,0,0,0,293,0,0,0,0,0,NA,2012-12-06,293,0,293,0,0,1,0,1
"290",290,"12.06.2012",NA,"TR14_","TR14_","sun",NA,NA,"Sub 2 (17.3-17.7 mm @ 0.95 m)","TR14_1206_SU1",NA,0,0,0,0,0,0,0,65,0,0,0,0,0,NA,2012-12-06,65,0,65,0,0,1,0,1
"292",292,"12.06.2012",NA,"TR14_","TR14_","sun",NA,NA,"Sub 1 (22.9-23.4 mm @ 1m branch)","TR14_1206_SU2",NA,0,0,0,0,0,0,0,348,0,0,0,0,0,NA,2012-12-06,348,0,348,0,0,1,0,1
"293",293,"12.06.2012",NA,"TR14_","TR14_","sun",NA,NA,"Sub 2 (20.2-20.3 mm @ 1m branch)","TR14_1206_SU2",NA,0,0,0,0,0,0,0,136,0,0,0,0,0,NA,2012-12-06,136,0,136,0,0,1,0,1
"296",296,"12.06.2012",NA,"TR14_","TR14_","shade",NA,NA,"Sub 1 (15.1-15.8 mm @ 1m branch)","TR14_1206_SH1",NA,0,0,0,0,0,0,0,215,0,0,0,0,0,NA,2012-12-06,215,0,215,0,0,1,0,1
"297",297,"12.06.2012",NA,"TR14_","TR14_","shade",NA,NA,"Sub 2 (14.5 -14.6 mm @ 1m branch)","TR14_1206_SH1",NA,0,0,0,0,0,0,0,74,0,0,0,0,0,NA,2012-12-06,74,0,74,0,0,1,0,1
"298",298,"12.06.2012",NA,"TR14_","TR14_","shade",NA,NA,"Sub 1 (13.3-13.4 mm @ 1m branch)","TR14_1206_SH2",NA,0,0,0,0,0,0,0,68,0,0,0,0,0,NA,2012-12-06,68,0,68,0,0,1,0,1
"299",299,"12.06.2012",NA,"TR14_","TR14_","shade",NA,NA,"Sub 2 (11.5-11.7 mm @ 0.8 m branch)","TR14_1206_SH2",NA,0,0,0,0,0,0,0,85,0,0,0,0,0,NA,2012-12-06,85,0,85,0,0,1,0,1
"300",300,"12.06.2012",NA,"TR14_","TR14_","shade",NA,NA,"Sub 3 (11.7mm @ 0.8 m branch)","TR14_1206_SH2",NA,0,0,0,0,0,0,0,47,0,0,0,0,0,NA,2012-12-06,47,0,47,0,0,1,0,1
"302",302,"08.25.2013",NA,"TR500_","TR500_","shade",NA,NA,"13.9, 14.7","TR500_08.25.2013_SH",NA,1,10,16,0,4,13,0,0,0,0,0,0,13,NA,2013-08-25,57,27,17,13,0.473684210526316,0.298245614035088,0.228070175438596,1
"303",303,"08.25.2013",NA,"TR500_","TR500_","sun",NA,NA,"15.8, 16.9","TR500_08.25.2013_SU",NA,4,10,11,0,5,46,0,0,0,0,0,0,25,NA,2013-08-25,101,25,51,25,0.247524752475248,0.504950495049505,0.247524752475248,1
"304",304,"09.03.2013",NA,"TR232_","TR232_","lo",NA,NA,"10.3, 10.5","TR232_11.03.2013_SH1",NA,57,84,0,0,0,0,0,0,0,0,0,0,49,NA,2013-09-03,190,141,0,49,0.742105263157895,0,0.257894736842105,1
"305",305,"09.03.2013",NA,"TR232_","TR232_","lo",NA,NA,"9, 9.2","TR232_11.03.2013_SH2",NA,63,50,0,0,0,0,0,0,0,0,0,0,34,NA,2013-09-03,147,113,0,34,0.768707482993197,0,0.231292517006803,1
"306",306,"09.03.2013",NA,"TR232_","TR232_","hi",NA,NA,"9.3, 9.4","TR232_11.03.2013_HI",NA,70,119,0,0,0,0,0,0,0,0,6,6,0,NA,2013-09-03,201,189,0,12,0.940298507462687,0,0.0597014925373134,1
"307",307,"09.14.2013",NA,"TR232_","TR232_","hi",NA,NA,"11.8, 13.2","TR232_11.14.2013_HI",NA,0,0,169,0,0,0,0,0,0,0,14,1,0,NA,2013-09-14,184,169,0,15,0.918478260869565,0,0.0815217391304348,1
"308",308,"09.19.2013",NA,"TR9_","TR9_","shade",NA,NA,"10.6, 11.4","TR9_09.19.2013_SH",NA,17,21,14,0,7,0,0,0,0,0,0,0,51,NA,2013-09-19,110,52,7,51,0.472727272727273,0.0636363636363636,0.463636363636364,1
"309",309,"09.19.2013",NA,"TR9_","TR9_","sun",NA,NA,"18.2, 19.3","TR9_09.19.2013_SU",NA,57,7,3,0,0,0,0,0,0,0,0,0,331,NA,2013-09-19,398,67,0,331,0.168341708542714,0,0.831658291457286,1
"310",310,"09.21.2013",NA,"TR117_","TR117_","lo",NA,NA,"11.9, 12.5","TR117_09.21.2013_lo",NA,5,1,1,10,3,0,0,63,0,0,0,0,9,NA,2013-09-21,92,17,66,9,0.184782608695652,0.717391304347826,0.0978260869565217,1
"311",311,"09.21.2013",NA,"TR117_","TR117_","hi",NA,NA,"10.7, 11.7","TR117_09.21.2013_hi",NA,2,1,0,8,0,0,0,117,0,0,0,0,35,NA,2013-09-21,163,11,117,35,0.0674846625766871,0.717791411042945,0.214723926380368,1
"312",312,"09.22.2013",NA,"TR232_","TR232_","MC",NA,NA,"9.4, 9.8","TR232_11.22.2013_dpld",NA,0,0,0,0,117,0,0,0,0,0,0,0,8,NA,2013-09-22,125,0,117,8,0,0.936,0.064,1
"313",313,"09.22.2013",NA,"TR232_","TR232_","MC",NA,NA,"7.5, 8.4 @0.95m","TR232_11.22.2013_ecophys",NA,0,0,0,0,74,0,0,0,0,0,0,0,1,NA,2013-09-22,75,0,74,1,0,0.986666666666667,0.0133333333333333,1
"314",314,"09.22.2013",NA,"TR118_","TR118_","shade",NA,NA,"13.6, 13.8","TR118_09.22.2013_SH",NA,0,0,0,0,0,0,0,89,0,0,0,0,123,NA,2013-09-22,212,0,89,123,0,0.419811320754717,0.580188679245283,1
"315",315,"09.22.2013",NA,"TR118_","TR118_","sun",NA,NA,"13.8, 13.9","TR118_09.22.2013_SU",NA,0,0,0,0,0,0,0,62,0,0,0,0,132,NA,2013-09-22,194,0,62,132,0,0.319587628865979,0.680412371134021,1
"316",316,"09.26.2013",NA,"TR500_","TR500_","shade",NA,NA,"12.3, 12.6","TR500_09.26.2013_SH1.1",NA,4,4,5,0,0,0,0,11,0,0,0,0,35,NA,2013-09-26,59,13,11,35,0.220338983050847,0.186440677966102,0.593220338983051,1
"317",317,"09.26.2013",NA,"TR500_","TR500_","shade",NA,NA,"13.5, 13.8","TR500_09.26.2013_SH1.2",NA,0,0,3,0,0,0,0,11,0,0,0,0,14,NA,2013-09-26,28,3,11,14,0.107142857142857,0.392857142857143,0.5,1
"318",318,"09.26.2013",NA,"TR500_","TR500_","sun",NA,NA,"20.1, 20.4","TR500_09.26.2013_SU1",NA,9,0,58,0,0,0,0,74,0,0,0,0,0,NA,2013-09-26,141,67,74,0,0.475177304964539,0.524822695035461,0,1
"319",319,"09.26.2013",NA,"TR500_","TR500_","sun",NA,NA,"14.9, 16","TR500_09.26.2013_SU2",NA,5,0,27,0,0,0,0,27,0,0,0,0,0,NA,2013-09-26,59,32,27,0,0.542372881355932,0.457627118644068,0,1
"320",320,"11.13.2013",NA,"TR11_","TR11_","shade",NA,NA,"11.05, 11.45","TR11_11.13.2013_SH1",NA,0,0,0,0,40,0,0,246,0,0,0,0,51,NA,2013-11-13,337,0,286,51,0,0.8486646884273,0.1513353115727,1
"321",321,"11.13.2013",NA,"TR11_","TR11_","shade",NA,NA,"15.78, 16.12","TR11_11.13.2013_SH4",NA,0,0,0,0,188,0,0,588,0,0,0,0,169,NA,2013-11-13,945,0,776,169,0,0.821164021164021,0.178835978835979,1
"322",322,"11.13.2013",NA,"TR11_","TR11_","sun",NA,NA,"11.72, 12.15","TR11_11.13.2013_SU3.1",NA,0,0,0,0,39,0,0,482,0,0,0,0,30,NA,2013-11-13,551,0,521,30,0,0.945553539019964,0.0544464609800363,1
"323",323,"11.13.2013",NA,"TR11_","TR11_","sun",NA,NA,"14.11, 14.70","TR11_11.13.2013_SU3.2",NA,0,0,0,0,17,0,0,538,0,0,0,0,54,NA,2013-11-13,609,0,555,54,0,0.911330049261084,0.0886699507389163,1
"324",324,"11.13.2013",NA,"TR11_","TR11_","sun",NA,NA,"NA","TR11_11.13.2013_SU3.3",NA,0,0,0,0,60,0,0,262,0,0,0,0,80,NA,2013-11-13,402,0,322,80,0,0.800995024875622,0.199004975124378,1
"325",325,"11.13.2013",NA,"TR11_","TR11_","sun",NA,NA,"NA","TR11_11.13.2013_SU3.4",NA,0,0,0,0,23,0,0,156,0,0,0,0,49,NA,2013-11-13,228,0,179,49,0,0.785087719298246,0.214912280701754,1
"326",326,"11.13.2013",NA,"TR11_","TR11_","sun",NA,NA,"NA","TR11_11.13.2013_SU3.5",NA,0,0,0,0,18,0,0,215,0,0,0,0,66,NA,2013-11-13,299,0,233,66,0,0.779264214046823,0.220735785953177,1
"327",327,"11.13.2013",NA,"TR11_","TR11_","sun",NA,NA,"NA","TR11_11.13.2013_SU3.6",NA,0,0,0,0,22,0,0,99,0,0,0,0,28,NA,2013-11-13,149,0,121,28,0,0.812080536912752,0.187919463087248,1
"328",328,"11.14.2013",NA,"TR232_","TR232_","MC",NA,NA,"10.4, 10.9","TR232_11.14.2013_1",NA,0,0,0,0,0,0,0,100,0,0,0,0,9,NA,2013-11-14,109,0,100,9,0,0.917431192660551,0.0825688073394495,1
"329",329,"11.14.2013",NA,"TR232_","TR232_","MC",NA,NA,"10.97, 11.19","TR232_11.14.2013_2",NA,0,0,0,0,0,0,0,40,0,0,0,0,22,NA,2013-11-14,62,0,40,22,0,0.645161290322581,0.354838709677419,1
"330",330,"11.15.2013",NA,"US1_","US1_","US",NA,NA,"11.65, 12.22","US1_500?_11.15.2013_1",NA,0,0,0,0,0,0,0,116,0,0,0,0,32,NA,2013-11-15,148,0,116,32,0,0.783783783783784,0.216216216216216,1
"331",331,"11.15.2013",NA,"US1_","US1_","US",NA,NA,"7.5, 7.94","US1_500?_11.15.2013_2",NA,0,0,0,0,0,0,0,37,0,0,0,0,43,NA,2013-11-15,80,0,37,43,0,0.4625,0.5375,1
"332",332,"11.15.2013",NA,"TR502_","TR502_","MC",NA,NA,"11.65, 12.22 @ 0.77m","TR502_11.15.2013_1",NA,0,0,0,0,0,0,0,58,0,0,0,0,30,NA,2013-11-15,88,0,58,30,0,0.659090909090909,0.340909090909091,1
"333",333,"11.15.2013",NA,"TR502_","TR502_","MC",NA,NA,"19.79, 19.8","TR502_11.15.2013_2",NA,0,0,0,0,0,0,0,219,0,0,0,0,40,NA,2013-11-15,259,0,219,40,0,0.845559845559846,0.154440154440154,1
"334",334,"11.15.2013",NA,"TR500_","TR500_","sun",NA,NA,"19.05, 19.12","TR500_11.15.2013_SUN1",NA,0,0,0,15,0,0,0,41,0,0,0,0,43,NA,2013-11-15,99,15,41,43,0.151515151515152,0.414141414141414,0.434343434343434,1
"335",335,"11.15.2013",NA,"TR500_","TR500_","sun",NA,NA,"17.81, 18.12","TR500_11.15.2013_SUN2",NA,0,0,0,8,0,0,0,45,0,0,0,0,9,NA,2013-11-15,62,8,45,9,0.129032258064516,0.725806451612903,0.145161290322581,1
"336",336,"11.15.2013",NA,"TR500_","TR500_","shade",NA,NA,"17.08, 17.63@0.7m","TR500_11.15.2013_SH1",NA,0,0,0,15,1,0,0,39,0,0,0,0,22,NA,2013-11-15,77,15,40,22,0.194805194805195,0.519480519480519,0.285714285714286,1
"337",337,"11.15.2013",NA,"TR500_","TR500_","shade",NA,NA,"13.97, 14.29","TR500_11.15.2013_SH2",NA,0,0,0,4,0,0,0,55,0,0,0,0,2,NA,2013-11-15,61,4,55,2,0.0655737704918033,0.901639344262295,0.0327868852459016,1
"338",338,"11.18.2013",NA,"TR10_","TR10_","lo",NA,NA,"8.41, 8.6","TR10_11.18.2013_LO",NA,0,0,0,0,0,0,0,453,0,0,0,0,95,NA,2013-11-18,548,0,453,95,0,0.826642335766423,0.173357664233577,1
"339",339,"11.18.2013",NA,"TR10_","TR10_","hi",NA,NA,"8.4, 9.33","TR10_11.18.2013_HI",NA,0,0,0,0,0,0,0,628,0,0,0,0,43,NA,2013-11-18,671,0,628,43,0,0.93591654247392,0.0640834575260805,1
"340",340,"11.18.2013",NA,"TR9_","TR9_","sun",NA,NA,"15.16, 16.01 @0.95m","TR9_11.18.2013_SU1_Sub1+2+others",NA,0,0,0,99,3,0,0,186,0,0,0,0,143,NA,2013-11-18,431,99,189,143,0.22969837587007,0.438515081206497,0.331786542923434,1
"341",341,"11.18.2013",NA,"TR9_","TR9_","sun",NA,NA,"13.1, 13.7","TR9_11.18.2013_SU1_Sub5",NA,0,0,0,33,0,0,0,92,0,0,0,0,78,NA,2013-11-18,203,33,92,78,0.16256157635468,0.45320197044335,0.38423645320197,1
"342",342,"11.18.2013",NA,"TR9_","TR9_","shade",NA,NA,"9.14, 9.5","TR9_11.18.2013_SH1",NA,0,0,0,22,0,0,0,49,0,0,0,0,13,NA,2013-11-18,84,22,49,13,0.261904761904762,0.583333333333333,0.154761904761905,1
"343",343,"11.19.2013",NA,"TR9_","TR9_","sun",NA,NA,"17.28, 18","TR9_11.18.2013_SU2",NA,0,0,0,128,0,0,0,441,0,0,0,0,22,NA,2013-11-19,591,128,441,22,0.2165820642978,0.746192893401015,0.0372250423011844,1
"344",344,"11.19.2013",NA,"TR118_","TR118_","sun",NA,NA,"22.47, 23.14","TR118_11.19.2013_SU1",NA,0,0,0,0,0,0,0,508,0,0,0,0,153,NA,2013-11-19,661,0,508,153,0,0.768532526475038,0.231467473524962,1
"345",345,"11.19.2013",NA,"TR118_","TR118_","sun",NA,NA,"22.11, 23.36","TR118_11.19.2013_SU1",NA,0,0,0,0,0,0,0,257,0,0,0,0,241,NA,2013-11-19,498,0,257,241,0,0.516064257028112,0.483935742971888,1
"346",346,"11.19.2013",NA,"TR117_","TR117_","MC",NA,NA,"10.22, 10.71","TR117_11.19.2013_1",NA,0,0,0,3,3,0,0,69,0,0,0,0,40,NA,2013-11-19,115,3,72,40,0.0260869565217391,0.626086956521739,0.347826086956522,1
"347",347,"11.19.2013",NA,"TR117_","TR117_","MC",NA,NA,"8.7, 8.96","TR117_11.19.2013_2",NA,0,0,0,28,7,0,0,64,0,0,0,0,55,NA,2013-11-19,154,28,71,55,0.181818181818182,0.461038961038961,0.357142857142857,1
"348",348,"11.19.2013",NA,"US3_TR118","US3_TR118","US",NA,NA,"5.38, 7.09","US3_TR118_11.19.2013",NA,0,0,0,0,0,0,0,260,0,0,0,0,0,NA,2013-11-19,260,0,260,0,0,1,0,1
"349",349,"11.19.2013",NA,"TR3436_","TR3436_","MC",NA,NA,"9.01, 10.07","TR3436_11.19.2013",NA,0,0,0,0,0,0,0,195,0,0,0,0,0,NA,2013-11-19,195,0,195,0,0,1,0,1
"350",350,"11.19.2013",NA,"US2_TR118","US2_TR118","US",NA,NA,"11.13, 11.78","US2_TR118_11.19.2013",NA,0,0,0,8,0,0,0,66,0,0,0,0,10,NA,2013-11-19,84,8,66,10,0.0952380952380952,0.785714285714286,0.119047619047619,1
"351",351,"11.21.2013",NA,"TRUS1_TR504","TRUS1_TR504","US",NA,NA,"8.78, 9.11","US1_504_11.21.2013",NA,0,0,0,13,0,0,0,51,0,0,31,14,0,NA,2013-11-21,109,13,51,45,0.119266055045872,0.467889908256881,0.412844036697248,1
"352",352,"11.21.2013",NA,"MC_TR504","MC_TR504","MC",NA,NA,"6.49, 6.77 @0.75","MC_TR504_1_11.21.2013",NA,0,0,0,0,1,7,8,0,0,0,0,0,0,NA,2013-11-21,16,0,16,0,0,1,0,1
"353",353,"11.21.2013",NA,"MC_TR504","MC_TR504","MC",NA,NA,"N/A","MC_TR504_2_11.21.2013",NA,0,0,0,8,2,28,21,0,7,0,0,0,4,NA,2013-11-21,70,8,51,11,0.114285714285714,0.728571428571429,0.157142857142857,1
"354",354,"11.21.2013",NA,"MC_TR504","MC_TR504","MC",NA,NA,"8.52, 9.09","MC_TR504_3_11.21.2013",NA,0,0,0,5,0,7,10,0,0,0,0,0,0,NA,2013-11-21,22,5,17,0,0.227272727272727,0.772727272727273,0,1
"355",355,"11.21.2013",NA,"TR504_","TR504_","shade",NA,NA,"6.61, 7.35 @0.7m","TR504_SH_sb1",NA,0,0,0,0,0,0,0,272,0,0,0,0,3,NA,2013-11-21,275,0,272,3,0,0.989090909090909,0.0109090909090909,1
"356",356,"11.21.2013",NA,"TR504_","TR504_","shade",NA,NA,"9.38, 10.13","TR504_SH_sb4",NA,0,0,0,0,0,0,0,100,0,0,0,0,6,NA,2013-11-21,106,0,100,6,0,0.943396226415094,0.0566037735849057,1
"357",357,"11.21.2013",NA,"TR504_","TR504_","sun",NA,NA,"11.54, 11.55","TR504_SU_sb1",NA,0,0,0,0,0,0,0,968,0,0,0,0,0,NA,2013-11-21,968,0,968,0,0,1,0,1
"358",358,"11.21.2013",NA,"TR504_","TR504_","sun",NA,NA,"14.4, 14.9","TR504_SU_sb1+sub2",NA,0,0,0,0,0,0,0,1477,0,0,0,0,0,NA,2013-11-21,1477,0,1477,0,0,1,0,1
"359",359,"3.23.2014",NA,"TR9_","TR9_","sun",NA,NA,"23.5, 25.5","TR9_SU_03232014",NA,0,0,0,0,0,0,0,544,0,0,17,37,0,NA,2014-03-23,598,0,544,54,0,0.909698996655518,0.0903010033444816,1
"360",360,"3.23.2014",NA,"TR9_","TR9_","shade",NA,NA,"10.3","TR9_SH_03232014",NA,0,0,0,0,0,0,0,67,0,0,37,0,0,NA,2014-03-23,104,0,67,37,0,0.644230769230769,0.355769230769231,1
"361",361,"3.24.2014",NA,"MC1_TR502","MC1_TR502","MC",NA,NA,"7.13, 7.23","MC1_TR502_demog",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2014-03-24,0,0,0,0,NA,NA,NA,NA
"362",362,"3.24.2014",NA,"US1_TR504","US1_TR504","US",NA,NA,"6.8, 7.4","US1_TR504_B2",NA,0,0,0,1,0,0,0,3,0,0,0,0,4,NA,2014-03-24,8,1,3,4,0.125,0.375,0.5,1
"363",363,"3.25.2014",NA,"TR500SH1_","TR500SH1_","shade",NA,NA,"11.3, 11.8","TR500SH1",NA,0,0,0,3,0,0,0,16,0,9,0,0,10,NA,2014-03-25,38,3,16,19,0.0789473684210526,0.421052631578947,0.5,1
"364",364,"3.25.2014",NA,"TR500_","TR500_","sun",NA,NA,"20.4, 20.8","TR500_SU_demog",NA,0,0,0,38,0,0,0,67,0,0,0,0,36,NA,2014-03-25,141,38,67,36,0.269503546099291,0.475177304964539,0.25531914893617,1
"365",365,"3.25.2014",NA,"TR500SH_","TR500SH_","shade",NA,NA,"12.7, 13.1","TR500SH_demog",NA,0,0,0,7,0,0,0,11,0,0,0,0,7,NA,2014-03-25,25,7,11,7,0.28,0.44,0.28,1
"366",366,"3.26.2014",NA,"TR504_","TR504_","shade",NA,NA,"9.5, 9.7","TR504_SH_demog",NA,0,0,0,50,0,0,0,501,0,0,2,38,0,NA,2014-03-26,591,50,501,40,0.0846023688663283,0.847715736040609,0.0676818950930626,1
"367",367,"3.26.2014",NA,"TR504_","TR504_","sun",NA,NA,"14.3, 14.5","TR504_SU_demog",NA,0,0,0,0,0,0,0,659,0,0,0,311,0,NA,2014-03-26,970,0,659,311,0,0.679381443298969,0.320618556701031,1
"368",368,"3.28.2014",NA,"TR502_","TR502_","hi",NA,NA,"19.6, 19.9","TR502_hi_demog",NA,0,0,0,0,0,0,0,144,0,0,0,0,25,NA,2014-03-28,169,0,144,25,0,0.85207100591716,0.14792899408284,1
"369",369,"3.28.2014",NA,"TR502_","TR502_","lo",NA,NA,"12.75, 13.01","TR502_lo_demog",NA,0,0,0,0,0,0,0,45,0,0,0,0,19,NA,2014-03-28,64,0,45,19,0,0.703125,0.296875,1
"370",370,"3.28.2014",NA,"US1_TR500","US1_TR500","US",NA,NA,"11.82, 12.01","US1_TR500_B2_demog",NA,0,0,0,0,0,0,0,133,0,0,0,0,44,NA,2014-03-28,177,0,133,44,0,0.751412429378531,0.248587570621469,1
"371",371,"3.29.2014",NA,"TR117_","TR117_","MC",NA,NA,"10.62, 11.6","TR117_B3_demog",NA,0,0,0,0,0,0,0,56,0,0,0,0,40,NA,2014-03-29,96,0,56,40,0,0.583333333333333,0.416666666666667,1
"372",372,"3.29.2014",NA,"TR118_","TR118_","shade",NA,NA,"15.26, 14.06","TR118_SH_B1",NA,0,0,0,0,0,0,0,109,0,2.5,0,0,39,NA,2014-03-29,150.5,0,109,41.5,0,0.724252491694352,0.275747508305648,1
"373",373,"3.29.2014",NA,"TR118_","TR118_","shade",NA,NA,"17.59, 17.68","TR118_SH_B2",NA,0,0,0,0,0,0,0,189,0,2.5,0,0,66,NA,2014-03-29,257.5,0,189,68.5,0,0.733980582524272,0.266019417475728,1
"374",374,"3.29.2014",NA,"TR3436_","TR3436_","MC",NA,NA,"11.16, 12.31","TR3436_Tag7",NA,0,0,0,0,0,0,0,94,0,0,0,0,6,NA,2014-03-29,100,0,94,6,0,0.94,0.06,1
"375",375,"3.29.2014",NA,"US2_TR118","US2_TR118","US",NA,NA,"10.11, 10.78","US2_TR118_Tag2",NA,0,0,0,23,0,0,0,36,0,0,22,8,1,NA,2014-03-29,90,23,36,31,0.255555555555556,0.4,0.344444444444444,1
"376",376,"3.29.2014",NA,"TR118_","TR118_","sun",NA,NA,"25.55, 25.87","TR118_SU",NA,0,0,0,0,0,0,0,469,0,0,0,0,204,NA,2014-03-29,673,0,469,204,0,0.696879643387816,0.303120356612184,1
"377",377,"3.29.2014",NA,"TR117_","TR117_","MC",NA,NA,"14.16","TR117_Tag34",NA,0,0,0,0,0,0,0,290,0,0,0,0,118,NA,2014-03-29,408,0,290,118,0,0.71078431372549,0.28921568627451,1
"378",378,"3.29.2014",NA,"TR3436_","TR3436_","MC",NA,NA,"13.21, 13.91","TR3436_B3",NA,0,0,0,0,0,0,0,135,0,0,0,0,5,NA,2014-03-29,140,0,135,5,0,0.964285714285714,0.0357142857142857,1
"379",379,"3.30.2014",NA,"US1_TR11","US1_TR11","US",NA,NA,"10.48, 10.67","US1_TR11",NA,0,0,0,0,0,0,0,28,0,0,11,2,2,NA,2014-03-30,43,0,28,15,0,0.651162790697674,0.348837209302326,1
"380",380,"3.30.2014",NA,"TR591_","TR591_","lo",NA,NA,"5.71, 6.61","TR591_lo",NA,0,0,0,0,0,0,0,143,0,0,0,0,38,NA,2014-03-30,181,0,143,38,0,0.790055248618785,0.209944751381215,1
"381",381,"3.30.2014",NA,"TR591_","TR591_","hi",NA,NA,"10.59, 11.12","TR591_hi",NA,0,0,0,0,0,0,0,514,0,0,0,13,125,NA,2014-03-30,652,0,514,138,0,0.788343558282209,0.211656441717791,1
"382",382,"3.30.2014",NA,"TR11_","TR11_","shade",NA,NA,"13.81, 14.3","TR11_SH",NA,0,0,0,329,0,0,0,80,0,0,0,3,267,NA,2014-03-30,679,329,80,270,0.484536082474227,0.117820324005891,0.397643593519882,1
